title,company_name,location,description,salaries
2024 University Graduate - Data Science Engineer - Full-time,Adobe,"  Biloxi, MS   ","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen...

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity

Adobe Digital Insights (ADI) produces public insights covered by news outlets worldwide, on topics from the global economy to photography trends. Every year, tens of thousands of articles and hours of news footage are dedicated to the work this team does. C-level leadership at large businesses around the world also rely on insights produced by ADI. Today, Adobe is at the forefront of enabling digital transformation and new experience-led business models.

What You'll Do

ADI's unique data is a strategic asset for which there is ever increasing demand. As a Data Engineer, you'll architect and build a data environment and pipelines to suite our ever growing data appetite. This will require optimizing our current data flows and implementing new platform technologies and tools to better achieve our goals. We’re looking for someone who is comfortable working in a fast-paced environment, can adapt to shifting conditions and priorities, is meticulous and detailed, and is a self-starter. You will collaborate with data scientist and analyst on the team to define, synthesize and prioritize data requirements, and work with other engineering groups to assess the feasibility of potential approaches and you will build and implement those solutions.

What You Need to Succeed
• BS in Computer Science or related field
• 3+ years of engineering experience
• Experience with modern data platforms (Hadoop, Hive, Sqoop, HDFS)
• Experience with structured and unstructured databases (SQL, Mongo)
• An advanced background with high-level scripting language (Python, R)
• Familiarity with cloud environments (AWS, Azure, OpenStack)
• Solid understanding of the latest information management tools and technologies.
• Strong attention to detail and problem solving skills
• Proven leadership and self-direction.
• Desire to both guide others and learn new techniques.
• High energy, personal drive, and positivity

Our compensation reflects the cost of labor across several  U.S. geographic markets, and we pay differently based on those defined markets. The U.S. pay range for this position is $82,600 -- $153,100 annually. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process.

At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP).

In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award.

Adobe is proud to be an Equal Employment Opportunity and affirmative action employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.

Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.

Adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees",
Data Scientist,Internal Revenue Service,"  Jacksonville, FL   ","Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information.

WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.govQualifications: Federal experience is not required. The experience may have been gained in the public sector, private sector or Volunteer Service. One year of experience refers to... full-time work; part-timework is considered on a prorated basis. To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume.

You must meet the following requirements by the closing date of this announcement:

BASIC REQUIREMENT :
A Bachelor's or higher degree in Mathematics, statistics, computer science, data science or field directly related to the position. The degree must be in a major field of study (at least at the baccalaureate level) that is appropriate for the position.

In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below:

SPECIALIZED EXPERIENCE:

You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-13 grade level in the Federal service. Specialized experience for this position must include: Experience with data science and analytical methods from conducting machine learning, Natural Language Processing, and technical procedures such as, solution design, implementation, and deployment. Experience using one or more relevant data science programming languages such as, R, Python, SQL, MATLAB; the use of an integrated development environment (IDE) such as, RStudio. Experience with evaluative methods based on analytical skills and experiences balancing project and technological risk of the advanced solution's design, development and implementation. Experience defining data science problems and generating solution designs. Experience communicating a synthesis of data science topics or issues and analytics solutions. Experience applying effective communication, both orally and in writing to articulate findings and recommendations. Experience with data preparation methods such as, feature creation, exploratory data analysis, model creation, and data visualization. Experience developing machine learning and AI models. Experience using data analysis, data visualization, and data reporting tools such as Power BI or Tableau. Experience researching and applying internal guidelines, policies, and procedures in order to adapt them to varying circumstances, including resolving conflicts between directives and guidance from different sources.

OR
Combination of education and experience: Courses equivalent to a major field of study (30 semester hours) as shown above, plus additional education or appropriate experience.

For more information on qualifications please refer to OPM's Qualifications Standards.Education: For positions with an education requirement, or if you are qualifying for this position by substituting education or training for experience, submit a copy of your transcripts or equivalent. An official transcript will be required if you are selected.

A college or university degree generally must be from an accredited (or pre-accredited) college or university recognized by the U.S. Department of Education. For a list of schools which meet these criteria, please refer to Department of Education Accreditation page.

FOREIGN EDUCATION: Education completed in foreign colleges or universities may be used to meet the requirements. You must show proof the education credentials have been deemed to be at least equivalent to that gained in conventional U.S. education program. It is your responsibility to provide such evidence when applying. Click here for Foreign Education Credentialing instructions.Employment Type: FULL_TIME",
Data Scientist1 00%remote,Binary Tech Consulting Corp,"  Miami, FL   ","Work Location Options:
• 100% telecommute
• Minneapolis onsite...
• San Francisco onsite
Hours: 9am-5pm weekdays, with flexibility occasionally required to accommodate timezone differences

Interview Process: 2 rounds via video
• 1 screening interview
• 1 multi-part interview with team members
Description

The Data Scientist has education and professional experience in statistics and machine learning. They are experienced with Python and SQL, and have familiarity with Spark, R, and Git, and they will apply software-development best practices to their code, and help others apply them as well. Familiarity with Databricks and/or Ascend, medical claims data, Agile methodologies, and cutting-edge use of LLM's are each preferred as well.

This Data Scientist conducts the entire lifecycle of machine learning projects, including creating proposals, determining requirements, defining model targets, creating and evaluating candidate models, and productionizing models and the pipelines they depend upon. They also can capably mentor junior members of the team, conduct large-scale exploratory or experimental analytical projects, and propose and prototype novel applications of Data Science to business problems.

Team: Data Science team is composed of 5 full-time data scientists with a range of levels of background experience, and we will have as many as 3 full-time interns during the summer months. The team's work areas tend to be separate from one-another; a Senior Data Scientist should see it as an exciting challenge to gain some level of understanding in each of them and be able to contribute to as many as possible.

Responsibilities
• Work with stakeholders and others on the present project to ensure that value is being delivered at a regular pace
• Work with SME's to understand even the most nuanced context behind what is recorded in our data
• Work with technical partners (e.g., Data Engineers) to ensure that assets developed for analytical/modeling purposes are stable, reliable, and reproducible
• Write readable, maintainable, and testable code to ensure that datasets and models trained on them are delivering the expected results
• Read and contribute to others' code to help it meet the same standards
• Mentor junior members of the team in fundamentals of delivering value through Data Science
• Propose new applications of Data Science to business problems, or help develop these proposals
Ideal Background
• This candidate has a solid foundation of education in AI/ML, and experience applying this education to business problems. They can spot opportunities to deliver value, even in legally-regulated contexts, and follow through to make sure that their ideas don't get lost along the way. They have high standards for their own work, and they are happy to contribute to guide others' work to help them meet the same standard, when requested.
• This candidate is driven to meet objectives and is not going to simply give up when faced with a dependency they don't know how to pursue. But they are also willing to accept reality, and when something they have been working on is not living up to expectations they will honestly consider whether it is worth continuing to invest time in that project.
Required
• Python for data-related applications (pandas, numpy, pyspark, etc.) - 2+ years
• SQL and/or SparkSQL - 3+ years
• Understanding of statistics and machine learning techniques - 3+ years (can be a mix of professional experience and education)
• Basic use of Git - 1+ years
• Agile project methodologies - Familiar (can be experience or education)
Preferred
• Experience with Databricks
• Experience with Ascend
• Advanced use of Git
• Advanced understanding of Agile project methodologies
• Experience with Transfer Learning
• Experience with sentence transformers and/or embeddings models
• Cutting-edge understanding of Large Language Models
• Understanding of medical claims data",
Lead Data Scientist,NiSource Careers,"  Wesley Chapel, FL   ","Description

Lead Data Scientist...

Full Time Perm

Location: Hybrid or Remote

The Data Science organization at NiSource is the recently established advanced analytics arm of the company. We are building a talented team that is leveraging best-in-class tools and techniques to solve our company's highest value analytics use cases. With a strong team culture and commitment to innovative problem solving, the solutions that we build will be a competitive advantage for our company for many years to come.

This position will report up through the Enterprise Data & Analytics Organization and function as a technical consultant in Data Science organization in order to: 
• Build and run advanced analytics models leveraging Machine Learning and Statistics
• Perform data exploration and data mining 
• Serve as an expert in translating complex data into key strategy insights and valuable actions 
• Discover business narratives told by the data and present them to other scientists, business stakeholders, and managers at various levels 
• Develop and test heuristics 
• Create business intelligence, dashboards, visualizations, and/or other advanced analytics reports to adequately tell the business narrative and offer recommendations that are practiced, actionable, and have material impact, in addition to being well-supported by analytical models and data. 

Your responsibilities may include, but are not limited to:
• Serve as a mentor and coach to other Data Scientists in the organization 
• Design new processes and build large complex data sets
• Conduct statistical modeling and experiment design
• Test and validate predictive models
• Conduct scalable data research on and off the cloud

Minimum Qualifications
• 7+ years of experience as a data scientist, data analyst, or similar role
• 7+ years of experience coding in statistical and database languages (SQL, Python, R, Spark, etc)
• 7+ years of experience using machine learning such as NLP, image recognition, boosted trees, or related duties

Preferred Qualifications
• Master’s or advanced degree in statistics, data science, physics, mathematics, engineering, computer science, or comparable discipline 
• Experience working with data engineers and architects 
• Experience leading a team of analytics professionals and aligning to a common goal 
• Knowledge of Data governance techniques in the analytics space 
 

Disclaimer

The preceding description is not designed to be a complete list of all duties and responsibilities required of the position.

#DataSci #DS #DataScientist #Remote #Ohio #Columbus #OhioMeansJobs #SQL #Python #Spark #MachineLearning #ML #DataGoverance #NLP

Inclusion & Diversity
Value inclusion within your day to day responsibilities by respecting others perspectives/convictions, engaging others opinions, creating a safe environment where people, ideas, and opinions are valued within your Team/Customers and external partners.

Respect and take into consideration diversity within your Team/Customers and external work partners by valuing different world views, challenges, and cultures that represent all walks of life and all backgrounds.

Treat others with respect and consideration. Actively participate in creating and contributing to a positive work environment.

Equal Employment Opportunity
NiSource is committed to providing equal employment opportunities in each of its companies to all employees and applicants for employment without regard to race, color, religion, national origin or ancestry, veteran status, disability, gender, age, marital status, sexual orientation, gender identity, genetic information, or any protected group status as defined by law. Each employee is expected to abide by this principle.

By applying, you may be considered for other job opportunities.

Safety Statement
Promote a safe work environment by actively participating in all aspects of our employee safety program. Report any unsafe conditions and take actions to prevent personal injuries. Support our interdependent safety culture by ensuring the safety of your co-workers. Stay focused on the task at hand and promote productivity through good work habits.

Posting Start Date:
2023-08-22

Posting End Date (if applicable):

Please note that the job posting will close on the day before the posting end date",
Data Science Analyst,AdventHealth,"  Orlando, FL   ","**Description**
• *All the benefits and perks you need for you and your family
...
· Benefits from Day One

· Paid Days Off from Day One

· Debt-free Education* (Certifications and Degrees without out-of-pocket tuition expense)
• *Our promise to you:**

Joining AdventHealth is about being part of something bigger. It’s about belonging to a community that believes in the wholeness of each person, and serves to uplift others in body, mind and spirit. AdventHealth is a place where you can thrive professionally, and grow spiritually, by Extending the Healing Ministry of Christ. Where you will be valued for who you are and the unique experiences you bring to our purpose-minded team. All while understanding that **together** we are even better.
• *Schedule:** Full Time
• *Shift** : Day Shift Remote

· The Maitland Office Plaza houses our highly skilled teams that support our hospital system including Marketing, Patient Financial Services, Revenue Management, the Credit Union and Human Resources.

· The Trickle Building, a two-story office structure, creates an atmosphere of health and healing, with a healthy-style café and quaint chapel.

· The main lobby is filled with lush greenery and a light trickle of water, creating a holistic environment.
• *The role you’ll contribute:**

The Data Science Analyst transforms data into actionable insights that inform the organization’s strategic decisions and drive business value. Possesses a combination of business and technical knowledge, enabling the identification of opportunities for process improvement in support of strategic initiatives and surfacing actionable information out of large complex systems. Under minimal supervision of a Senior Analyst, Lead Analyst or Manager, serves as a field agent working with clinical, financial and operational staff to build detailed knowledge of business flow to understand issues and needs. Takes initiative to identify key measures and discover root cause issues that are impacting flow, including participation in needs gathering, triage, research, diagnosis, escalation, analysis and specification. Through the use of data analytics, data visualization and data modeling techniques, works closely with operational and IT teams, utilizing tools to query and acquire data, organize it, analyze it, identify trends, establish alerts, interpret patterns, draw conclusions and propose solutions. Turns information into knowledge by presenting findings in reports and dashboards to managers, directors and executives, helping them make decisions that improve processes. Ensures the integrity of information in accordance with financial audit standards, develops training materials and trains customers. Is professional in all dealings, operates well under pressure, may be subject to heavy workloads and deadlines, and can work independently while providing on-time concise, high quality deliverables. Collaborates with other analysts, develops documentation and conveys knowledge to co-workers. Actively participates in outstanding customer service and accepts responsibility in maintaining relationships that are equally respectful to all.
• *The value you’ll bring to the team:**

· **Planning:** Actively participates in planning sessions and understands the organization’s strategic and performance improvement initiatives.

· **Customer Service:** Interacts frequently with leadership, acting as a point person to facilitate discussions, develops and maintains positive customer relationships.

· **Business Knowledge:** Acquires expert knowledge of the business process flow of each customer’s area through needs gathering, triage, research and diagnosis.

· **Metrics:** Identifies key measures of the area’s business flow, establishing goals or benchmarks.

· **Root Cause:** Performs root cause analyses to explain anything that adversely impacts flow, employing critical thinking and creative problem solving to address barriers, escalating issues to leadership when appropriate.

· **Data:** Identifies key data necessary for explaining flow, defines data sources, creates a data plan, prepares specifications.

· **Acquisition:** Performs data mining, queries and extractions (or works with IT) to acquire, aggregate, cleanse, organize and manage large complex datasets from multiple sources.

· **Validation:** Quantifies financial impacts and applies independent source validation and financial audit procedures to certify the accuracy of the data.

· **Analysis:** Prioritizes analysis work, applying critical thinking and objectively interpreting results, providing meaningful data-driven insights and improvement recommendations, supporting business stakeholders in making strategic decisions.

· **Dashboard Development:** Designs, develops and maintains reports, scorecards, and dashboards that effectively tell the story of the data and highlight anomalies in a manner that customers can easily understand and act upon.

· **Presentation:** Prepares effective presentations and articulately communicates findings and results.

· **Improve:** Monitors and audits results and collaborates with other analytic staff to provide recommendations on best practices to improve reporting.

· **Self-Development:** Proactively creates an Employee Development Plan for career development and participates in internal and/or external training programs to keep knowledge and skills current

· **Documentation:** Documents work processes and produces training materials to train co-workers and customers.

· **Other:** Performs other duties as assigned.
• *Qualifications**
• *The expertise and experiences you'll need to succeed:**
• *EDUCATION AND EXPERIENCE REQUIRED:**

· Bachelor’s degree in Data Science, Business Intelligence, Data Analytics, Industrial Engineering, Computer Science, Information Technology or related field

This facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.
• *Category:** Accounting/Finance
• *Organization:** 01 VI AH CENTRAL FL VIRTUAL
• *Schedule:** 1 - Day
• *Shift:** AdventHealth Central Florida
• *Req ID:** 23024244

We are an equal opportunity employer and do not tolerate discrimination based on race, color, creed, religion, national origin, sex, marital status, age or disability/handicap with respect to recruitment, selection, placement, promotion, wages, benefits and other terms and conditions of employment",
CoE - Faculty Data Science (Asst. Prof/Assoc. Prof./Professor),The University of Miami,"  Coral Gables, FL   ","Current Employees:

If you are a current Staff, Faculty or Temporary employee at the University of Miami, please click here to log in to Workday to use the internal application process. To learn how to apply for a faculty or staff position using the Career worklet, please review this tip sheet...

University of Miami
College of Engineering and Institute for Data Science and Computing

Data Sciences and Engineering Faculty Search

The College of Engineering (CoE, https://www.coe.miami.edu/), at the University of Miami (UM) invites applications for a tenured or tenure-track faculty position. All levels (Assistant, Associate, or Full Professor) will be considered. Candidates are being targeted for a cluster of hires within the CoE in Data Science. Based on the candidate's expertise, the position can belong to any department in CoE, with likely appointments in ECE and ISE. The faculty in these positions will receive tenure-track appointments in CoE and may be considered for faculty appointments in the Institute for Data Science and Computing (IDSC). IDSC is a newly created university research organization and rapidly growing its capacity. IDSC focuses on Enhancing the use of data and computational methods in existing disciplines at the University of Miami; defining new knowledge areas and disciplines that can take advantage of data and computation; and helping to educate the public at large about the intelligent and responsible use of data by developing programs at all educational levels.

The successful candidate will be expected to teach courses at the graduate and undergraduate levels, mentor graduate students, advise students at all levels, and maintain an active research program. The successful candidate for a tenured faculty position should have a record of scholarly accomplishments, teaching experience, and a sustained externally funded research program. All areas of research expertise that complement the existing research strengths in the college will be considered. Preference will be given to candidates with research in artificial intelligence and data analytics for acquiring, processing, and analyzing real-time, large-scale, and multi-model data and for supporting machine learning to convert data into actionable information and knowledge. Areas of interest include applied and theoretical innovations in real-time and distributed data management, analysis, and machine learning, interpretable machine learning, machine learning security and privacy, and machine learning fairness. Other areas including cybersecurity, cyber-physical systems, autonomous vehicles, Internet of Things, and edge computing will also be considered.

The successful candidates should have an earned Ph.D. in a relevant engineering or science discipline. The selected candidate will be expected to teach classes at the undergraduate and graduate levels. Senior faculty will be expected to play a leadership role within their Department, and to promote interdisciplinary research throughout the University in the field of data sciences and engineering. The University of Miami is among the top-tier higher education institutions in the U.S., known for its academic excellence and cutting-edge research. At the U, we are committed to attracting a talented workforce to support our common mission of transforming lives through education, research, innovation, and service. Through our values of Diversity, Integrity, Responsibility, Excellence, Compassion, Creativity, and Teamwork we strive to create an environment where everyone contributes to making the U a great place to work. Located in the beautiful city of Coral Gables - a picturesque oasis in the heart of Miami-Dade County, with one of the largest and most pivotal coastal areas across the globe. Miami is now the eighth largest metro area in the United States and Florida is the third largest state. Thanks to zero state income taxes, cultural diversity, a tradition of entrepreneurship, and a fine climate, Miami is attracting a massive influx of wealth and talent from around the world. Miami aims to become a leading global technology hub in life sciences, fintech, green technology, digital transformation, and the Internet of Things. The College of Engineering at the University of Miami is excited to focus its research activities under strategically selected interdisciplinary thrusts. Significant growth in faculty and graduate students is expected over the years.

For full consideration, please upload one single file, max. 5MB with the following; 1) A cover letter of interest discussing your expertise and anticipated contributions at the University of Miami; 2) Current curriculum vitae; 3) Research Statement; 4) Teaching Statements (including teaching philosophy, teaching experience, commitment to effective learning); 5) Diversity and inclusion statement; and 6) Contact information, including email and phone numbers, for at least three references.

If the file size is larger or you need any technical help with uploading the file(s), please contact Samara Alfonso at coesearch@miami.edu. Review of applications will begin immediately, but applications will be received until the positions are filled. We request that applications be submitted by December 22nd, 2023. Initial screening of applications will begin immediately, with hires expected to start as early as Jan 2024 or later. If you have any questions, please feel free to contact the Chair of the Search Committee, Dr. Ramin Moghaddas (ramin@miami.edu).

The University of Miami is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities are encouraged to apply. Applicants and employees are protected from discrimination based on certain categories protected by Federal law. Click here for additional information.

Job Status:
Full time

Employee Type:
Faculty",
(Intern) Enterprise Analytics Office Data Science Internship - Now...,Nationwide Insurance and Financial Services,"  Biloxi, MS   ","As a team member in the Finance and Internal Audit department at Nationwide, the opportunities are endless! You can grow and learn in diverse areas across many disciplines such as Advanced Analytics, Investments, Actuarial, Accounting, Risk Management, Critical Business Advisor and so much more. Let Nationwide help create your career journey!

Job Description Summary...

Description

Nationwide Insurance is seeking candidates for various Data Science internship positions to join the Enterprise Analytics Office (EAO) from May to August 2024.

EAO Data Scientists support all of Nationwide’s products by working with business partners to develop integrated, end-to-end solutions contributing to company success. We uphold a high standard for methodological rigor using sound statistical inference and robust model validation in our daily work.

As a Data Science Intern, you will work with real customer data, build and evaluate predictive or explanatory models, and provide recommendations using impactful storylines and advanced data visualizations catered to both technical and non-technical audiences. You will use enterprise-class analytic software tools and platforms including R, Python, Tableau, Teradata, and Amazon Web Services.

Graduate or undergraduate candidates will be considered, from any major. Some statistical and/or technical background is preferred.

Job Summary

As a Data Science Intern, you will take an active role on one or more projects within Nationwide’s Enterprise Analytics Office and participate in many or all phases of the analytic lifecycle, including:
• Working with team members and business partners to identify, define and research the business problem to be solved.
• Acquiring, preparing, and cleaning data sets from one or more data sources, some containing millions of rows and hundreds of dimensions.
• Analyzing and visualizing trends and patterns in structured and/or unstructured data and effectively communicating relevant insights in support of business problem solving.
• Building, implementing, evaluating, and documenting predictive and/or explanatory models and sharing insights and practical solutions with the team and business partners.

As an intern in the EAO, you’ll be part of a highly collaborative work environment and develop valuable technical and nontechnical skills beneficial to your development as a professional.

Smoke-Free Iowa Statement: Nationwide Mutual Insurance Company, its affiliates and subsidiaries comply with the Iowa Smokefree Air Act. Smoking is prohibited in all enclosed areas on or around company premises as well as company issued vehicles. The company offers designated smoking areas in which smoking is permitted at each individual location. The Act prohibits retaliation for reporting complaints or violations. For more information on the Iowa Smokefree Air Act, individuals may contact the Smokefree Air Act Helpline at 888-944-2247.

For NY residents please review the following state law information: Notice of Employee Rights, Protections, and Obligations LS740 (ny.gov) https://dol.ny.gov/system/files/documents/2022/02/ls740_1.pdf

Nationwide pays on a geographic-specific salary structure and placement within the actual starting salary range for this position will be determined by a number of factors including the skills, education, training, credentials and experience of the candidate; the scope, complexity and location of the role as well as the cost of labor in the market; and other conditions of employment.

$21 - $35",
Staff Data Scientist,MongoDB,"  San Francisco, CA   ","The worldwide data management software market is massive (IDC forecasts it to be $136 billion by 2027!). At MongoDB we are transforming industries and empowering developers to build amazing apps that people use every day. We are the leading developer data platform and the first database provider to IPO in over 20 years. Join our team and be at the forefront of innovation and creativity.

Staff... Data Scientist - Generative AI

The Staff Data Scientist - Generative AI will play a critical role in driving impact at MongoDB through building and tuning models that integrate with critical business flows. As a GenAI specialist on the centralized Data Science team, this role will align with multiple product and engineering teams to provide subject matter expertise across the development and evaluation of customer-facing LLM-powered solutions.

This role will initially require direct alignment with product and engineering teams based in Australia and thus the candidate should have experience working and delivering technical solutions asynchronously and autonomously. Additionally, we are seeking candidates comfortable with ambiguity and experimenting with cutting edge LLM and traditional Data Science tools as the landscape continues to evolve. The application of this research directly into the product development lifecycle will be critical to the success of this role.

Note: we are looking for candidates expressly able to work during Pacific or Hawaiian-Aleutian (GMT-10) Time Zone business hours

Responsibilities
• Act as the conduit between MongoDB Data Science and the product and engineering teams building Generative AI solutions: communicate concrete product requirements, evaluate and fine-tune AI deliverables, integrate deliverables into an existing codebase
• Provide thought leadership to the engineering team on the best way of using emerging GenAI technologies, frameworks and approaches to solve different problems
• Collaborate closely with product managers and other engineers to understand business priorities, propose new solutions
• Share your knowledge by giving brown bags, tech talks, and evangelizing appropriate tech and engineering best practices
• Define and improve business & product metrics to optimize the quality and cost of AI usage
• Make the Data Science team more efficient: Research and implement new tooling/processes to help the team experiment and become productive with Generative AI/LLM technologies

Skills & attributes
• 6+ years of hands-on data science and machine learning model development
• Experience working directly with Generative AI applications, specifically integration of LLMs into production environments
• Experience working alongside product and engineering teams to deliver measurable value to the customer with predictive solutions
• Familiarity and comfort working in a large scale environments with unstructured or semi-structured data using SQL and Python (MQL plus)
• Clear understanding of the risks and trade-offs involved in choosing different models
• Demonstrated understanding of the entire data science development lifecycle, including experience delivering data science artifacts to production deployment environments
• Ability to seek empirical evidence through proofs of concept, statistical validation and external research
• Ability to translate efficacy measurements of data science models and products into tangible business impact metrics
• Effective at communicating technical concepts to non-technical audiences
• Committed to contributing to a collaborative, enjoyable, and psychologically safe work environment
• PhD or Masters degree in a quantitative/computational discipline (computer science, applied mathematics, statistics, physics, operations research, etc.)

To drive the personal growth and business impact of our employees, we’re committed to developing a supportive and enriching culture for everyone. From employee affinity groups, to fertility assistance and a generous parental leave policy, we value our employees’ wellbeing and want to support them along every step of their professional and personal journeys. Learn more about what it’s like to work at MongoDB, and help us make an impact on the world!

MongoDB is committed to providing any necessary accommodations for individuals with disabilities within our application and interview process. To request an accommodation due to a disability, please inform your recruiter.

MongoDB, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type and makes all hiring decisions without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws",
Data Scientist,"Audible, Inc.","  Newark, NJ   ","Good storytelling starts with great listening. At Audible, that means each role and every project has our audience in mind. Because the same people who design, develop, and deploy our products also happen to use them. To us, that speaks volumes.

ABOUT THIS ROLE...
In this role, you’ll employ scalable cutting-edge machine learning (ML), deep learning (DL), and Natural Language Processing (NLP) techniques to better target customers and prospects, understand and personalize the content and context needed to optimize their book-listening experience, and translate business goals into agile, insightful analytics to inform critical business decisions. You’ll seek to create value for both stakeholders and customers and inform findings in a clear, actionable way to managers and senior leaders. You’ll operate in an agile environment in which we own and collaborate on the life cycle of research, design, and model development of relevant projects.

As a Data Scientist, you will:
- Develop and validate models to optimize the Who, When, Where and How of all our interactions with customers
- Develop Amazon-scale data engineering pipelines
- Imagine and invent before the business asks, and create groundbreaking applications using cutting-edge approaches
- Develop compelling data visualizations
- Work closely with other data scientists, ML experts, engineers as well as business across globe, and on cross-disciplinary efforts with other scientists within Amazon
- Contribute to the growth of the Audible Data Science team by sharing your ideas, intellectual property and learning from others

About Audible
At Audible, we innovate and inspire through the power of voice. We're changing the narrative on storytelling. As a leading creator and provider of premium audio storytelling, we've redefined the ways people access, discover, and share stories. The stories we tell have the ability to transport and transform everyday moments into meaningful experiences and it's our people who make Audible's service possible. We're listeners, storytellers, and problem-solvers. Our perspectives and experiences power our ideas and come together in our mission to unleash the power of the spoken word. Audible offers a Hub+Home hybrid workplace model that gives employees flexibility between gathering in an Audible workspace (work from hub) and remote work (work from home). For more information, please visit adbl.co/hybrid.

We are open to hiring candidates to work out of one of the following locations:

Newark, NJ, USA",
Data Science Analyst,Michaels Stores,"  Irving, TX   ","Support Center - Irving

The Data Science Analyst will review, measure, and provide insights on corporate-level tests. This Team Member will proactively mine data and produce analytical output. This individual will work with large scale and complex traditional and non-traditional data sources to identify opportunities that enhance performance and efficiency of marketing initiatives...

Major Activities
• Work with large scale and complex traditional and non-traditional data sources to identify opportunities that enhance performance and efficiency of business initiatives
• Demonstrate strong expertise in leveraging quantitative tools and approaches to transforming raw data into insights, such as data mining, dimension reduction, segmentation, response modeling, and designing of experiments
• Analyze marketing, customer, and sales data to measure and monitor performance by channel
• Create and automate reporting and the dashboards that support business partners across the company
• QA/QC data and report output to ensure accuracy
• Appropriately account for the timeliness and quality of all assignments
• Manage multiple projects concurrently
• Identify and generate ad hoc analysis to drive short term strategies

Minimum Knowledge/Skills/Abilities

Other duties as assigned

Minimum Education
• Bachelor’s degree in relevant quantitative discipline (statistics, economics, mathematics, computer science, electrical engineering, or a related scientific discipline)

Minimum Special Certifications Or Technical Skills
• Fluent in data fundamentals: SQL, data manipulation using a procedural language (R, Python), statistics, experimentation, and modeling
• Advanced Excel with higher level math and logic skills
• Well versed in data mining (databases, querying languages, SQL)

Minimum Type Of Experience The Job Requires
• Demonstrated skill communicating complex analysis to non-experts

Other
• Strong analytical thinker in an unstructured/ whitespace environment
• Ability to work in a fast-paced team environment, multi-task, and prioritize accordingly to deliver on multiple projects while maintaining a service-oriented, customer–centric focus
• Strong written and verbal communication skills
• High level of accuracy and attention to detail required

Applicants in the U.S. must satisfy federal, state, and local legal requirements of the job.

To review a comprehensive list of benefits, please visit Michaels Benefits (MIKBenefits.com)

CA, CO, CT, WA, RI and select New York cities only - To review pay ranges for the position you are applying for, please visit Michaels Pay Ranges - CA, CO, CT, WA, RI, and select New York cities only. (MIKBenefits.com)

For nearly 50 years, Michaels has been the destination where Makers get inspired, learn, shop, and create. We strive to cultivate an inclusive shopping environment for all Makers and work environment for all Team Members, providing a place of belonging and empowering everyone to bring their creative dreams to life. At Michaels, every Team Member is encouraged to hone their craft with opportunities for personal and professional growth. From our Stores and Distribution Centers to Artistree and our Support Center, our best-in-class team is passionate about leaving the world a better, more creative place by contributing to every “make”.

Michaels is an Equal Opportunity Employer. We are here for all Team Members and all Makers to create, innovate and be better together.

Michaels is committed to the full inclusion of all qualified individuals. In keeping with this commitment, Michaels will assure that people with disabilities are provided reasonable accommodations. Accordingly, if a reasonable accommodation is required to fully participate in the job application or interview process, to perform the essential functions of the job, and/or to receive all other benefits and privileges of employment, please contact Customer Care at 1-800-642-4235 (1800-MICHAEL).

EEOC Know Your Rights Poster in English

EEOC Know Your Rights Poster in Spanish

EEOC Poster Optimized for Screen Readers

Federal FMLA Poster

Federal EPPAC Poster",
